no,baris,word,wordTotal,n,tf,idf,tf_idf
664,975,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
665,976,di,380,1,0.002631579,5.883322388,0.015482427
666,977,kel,11,1,0.090909091,5.883322388,0.53484749
667,979,kec,15,1,0.066666667,5.883322388,0.392221493
668,982,rt,464,1,0.002155172,5.883322388,0.012679574
669,983,bermula,50,1,0.02,5.883322388,0.117666448
670,984,april,63,1,0.015873016,5.883322388,0.09338607
671,985,status,127,1,0.007874016,5.883322388,0.046325373
672,986,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
673,987,untuk,271,1,0.003690037,5.883322388,0.021709677
674,988,penerima,39,1,0.025641026,5.883322388,0.15085442
675,989,vaksin,244,1,0.004098361,5.883322388,0.024111977
676,990,primer,32,1,0.03125,5.883322388,0.183853825
677,991,sinovac,115,1,0.008695652,5.883322388,0.051159325
678,992,tahun,122,1,0.008196721,5.883322388,0.048223954
679,993,ke,157,1,0.006369427,5.883322388,0.037473391
680,994,ata,31,1,0.032258065,5.883322388,0.189784593
681,995,dan,393,1,0.002544529,5.883322388,0.014970286
682,996,warga,102,1,0.009803922,5.883322388,0.057679631
683,997,ema,33,1,0.03030303,5.883322388,0.178282497
684,998,tahun,122,1,0.008196721,5.883322388,0.048223954
685,999,ke,157,1,0.006369427,5.883322388,0.037473391
686,1000,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
687,1001,serentak,71,1,0.014084507,5.883322388,0.082863696
688,1004,penyebaran,11,1,0.090909091,5.883322388,0.53484749
689,1005,virus,22,1,0.045454545,5.883322388,0.267423745
690,1006,covid,328,1,0.00304878,5.883322388,0.017936959
691,1008,ramadhan,44,1,0.022727273,5.883322388,0.133711872
692,1009,dan,393,1,0.002544529,5.883322388,0.014970286
693,1010,hari,19,1,0.052631579,5.883322388,0.309648547
694,1011,raya,13,1,0.076923077,5.883322388,0.452563261
695,1012,polr,136,1,0.007352941,5.883322388,0.043259723
696,1014,kegiatan,77,1,0.012987013,5.883322388,0.076406784
697,1015,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
698,1016,covid,328,1,0.00304878,5.883322388,0.017936959
699,1018,massal,33,1,0.03030303,5.883322388,0.178282497
700,1019,di,380,1,0.002631579,5.883322388,0.015482427
701,1020,lokasi,16,1,0.0625,5.883322388,0.367707649
702,1023,jawa,27,1,0.037037037,5.883322388,0.217900829
703,1029,polsek,75,1,0.013333333,5.883322388,0.078444299
704,1032,kel,11,1,0.090909091,5.883322388,0.53484749
705,1038,giat,23,1,0.043478261,5.883322388,0.255796626
706,1039,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
707,1040,anak,265,1,0.003773585,5.883322388,0.022201217
708,1043,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
709,1044,kodim,24,1,0.041666667,5.883322388,0.245138433
710,1046,kepada,27,1,0.037037037,5.883322388,0.217900829
711,1051,kec,15,1,0.066666667,5.883322388,0.392221493
712,1053,kab,22,1,0.045454545,5.883322388,0.267423745
713,1055,rt,464,1,0.002155172,5.883322388,0.012679574
714,1057,orang,37,1,0.027027027,5.883322388,0.159008713
715,1058,di,380,1,0.002631579,5.883322388,0.015482427
716,1059,seluruh,39,1,0.025641026,5.883322388,0.15085442
